10:3:3:10 => [0, 6, 6, 6, 9, 3, 6, 3, 3, 6, 0, 3, 3, 3, 0, 6, 6, 3, 6, 0, 6, 3, 9, 0, 6, 3, 9, 6, 3, 6, 3, 0, 6, 6, 9, 3, 6, 3, 6, 6, 6, 3, 6, 3, 9, 6, 3, 6, 3, 3, 0, 3, 3, 6, 6, 6, 0, 3, 3, 6, 9, 9, 9, 3, 6, 3, 3, 3, 0, 3, 3, 0, 3, 6, 6, 6, 6, 9, 3, 6, 6, 0, 3, 0, 6, 3, 3, 3, 0, 3, 6, 6, 6, 0, 0, 9, 3, 3, 0, 6]-[9, 3, 3, 3, 0, 6, 3, 6, 6, 3, 9, 6, 6, 6, 9, 3, 3, 6, 3, 9, 3, 6, 0, 9, 3, 6, 0, 3, 6, 3, 6, 9, 3, 3, 0, 6, 3, 6, 3, 3, 3, 6, 3, 6, 0, 3, 6, 3, 6, 6, 9, 6, 6, 3, 3, 3, 9, 6, 6, 3, 0, 0, 0, 6, 3, 6, 6, 6, 9, 6, 6, 9, 6, 3, 3, 3, 3, 0, 6, 3, 3, 9, 6, 9, 3, 6, 6, 6, 9, 6, 3, 3, 3, 9, 9, 0, 6, 6, 9, 3]
10:3:4:10 => [4, 8, 0, 8, 4, 12, 0, 12, 4, 8, 8, 8, 8, 4, 8, 8, 4, 8, 12, 0, 12, 8, 4, 0, 4, 4, 8, 8, 4, 0, 4, 8, 8, 4, 4, 4, 0, 4, 8, 12, 4, 0, 8, 4, 4, 8, 12, 12, 0, 8, 8, 8, 8, 8, 12, 12, 12, 8, 4, 12, 8, 4, 8, 0, 4, 8, 8, 0, 8, 0, 8, 8, 4, 12, 8, 8, 0, 4, 8, 0, 4, 12, 4, 4, 8, 12, 4, 8, 4, 8, 8, 8, 4, 4, 4, 0, 4, 0, 12, 0]-[8, 4, 12, 4, 8, 0, 12, 0, 8, 4, 4, 4, 4, 8, 4, 4, 8, 4, 0, 12, 0, 4, 8, 12, 8, 8, 4, 4, 8, 12, 8, 4, 4, 8, 8, 8, 12, 8, 4, 0, 8, 12, 4, 8, 8, 4, 0, 0, 12, 4, 4, 4, 4, 4, 0, 0, 0, 4, 8, 0, 4, 8, 4, 12, 8, 4, 4, 12, 4, 12, 4, 4, 8, 0, 4, 4, 12, 8, 4, 12, 8, 0, 8, 8, 4, 0, 8, 4, 8, 4, 4, 4, 8, 8, 8, 12, 8, 12, 0, 12]
10:3:5:10 => [15, 5, 15, 5, 0, 5, 5, 5, 5, 5, 5, 10, 0, 5, 5, 0, 5, 15, 5, 0, 5, 10, 5, 15, 10, 10, 0, 5, 5, 5, 10, 0, 0, 15, 5, 10, 10, 15, 10, 10, 10, 5, 5, 10, 5, 10, 5, 5, 5, 0, 0, 5, 0, 5, 10, 10, 15, 15, 5, 5, 0, 5, 10, 5, 5, 15, 5, 10, 5, 5, 0, 5, 5, 5, 10, 10, 15, 15, 10, 10, 5, 0, 15, 0, 15, 15, 0, 0, 10, 0, 0, 15, 10, 10, 10, 5, 5, 5, 10, 10]-[0, 10, 0, 10, 15, 10, 10, 10, 10, 10, 10, 5, 15, 10, 10, 15, 10, 0, 10, 15, 10, 5, 10, 0, 5, 5, 15, 10, 10, 10, 5, 15, 15, 0, 10, 5, 5, 0, 5, 5, 5, 10, 10, 5, 10, 5, 10, 10, 10, 15, 15, 10, 15, 10, 5, 5, 0, 0, 10, 10, 15, 10, 5, 10, 10, 0, 10, 5, 10, 10, 15, 10, 10, 10, 5, 5, 0, 0, 5, 5, 10, 15, 0, 15, 0, 0, 15, 15, 5, 15, 15, 0, 5, 5, 5, 10, 10, 10, 5, 5]
10:3:6:10 => [0, 6, 12, 0, 0, 12, 6, 0, 6, 18, 0, 6, 0, 6, 0, 12, 6, 12, 6, 6, 6, 6, 0, 6, 12, 6, 6, 6, 6, 12, 6, 12, 12, 12, 18, 12, 6, 12, 6, 6, 0, 6, 6, 6, 6, 6, 12, 12, 12, 18, 0, 12, 12, 12, 12, 6, 6, 12, 0, 0, 6, 0, 6, 0, 18, 0, 18, 12, 12, 18, 18, 12, 0, 12, 12, 0, 6, 0, 6, 0, 12, 6, 12, 12, 12, 12, 6, 12, 18, 12, 6, 6, 18, 12, 12, 18, 6, 12, 0, 12]-[18, 12, 6, 18, 18, 6, 12, 18, 12, 0, 18, 12, 18, 12, 18, 6, 12, 6, 12, 12, 12, 12, 18, 12, 6, 12, 12, 12, 12, 6, 12, 6, 6, 6, 0, 6, 12, 6, 12, 12, 18, 12, 12, 12, 12, 12, 6, 6, 6, 0, 18, 6, 6, 6, 6, 12, 12, 6, 18, 18, 12, 18, 12, 18, 0, 18, 0, 6, 6, 0, 0, 6, 18, 6, 6, 18, 12, 18, 12, 18, 6, 12, 6, 6, 6, 6, 12, 6, 0, 6, 12, 12, 0, 6, 6, 0, 12, 6, 18, 6]
10:3:7:10 => [7, 0, 14, 0, 7, 7, 7, 0, 7, 0, 0, 14, 21, 14, 14, 7, 7, 14, 14, 14, 14, 14, 7, 14, 21, 14, 7, 21, 7, 7, 0, 14, 21, 7, 7, 7, 14, 0, 21, 21, 0, 7, 21, 14, 14, 7, 14, 7, 7, 7, 0, 14, 7, 14, 7, 14, 14, 14, 7, 7, 7, 14, 7, 7, 7, 0, 14, 0, 7, 7, 14, 14, 14, 7, 21, 14, 14, 14, 14, 7, 14, 0, 7, 14, 7, 7, 0, 7, 0, 14, 21, 14, 14, 7, 7, 7, 7, 14, 14, 14]-[14, 21, 7, 21, 14, 14, 14, 21, 14, 21, 21, 7, 0, 7, 7, 14, 14, 7, 7, 7, 7, 7, 14, 7, 0, 7, 14, 0, 14, 14, 21, 7, 0, 14, 14, 14, 7, 21, 0, 0, 21, 14, 0, 7, 7, 14, 7, 14, 14, 14, 21, 7, 14, 7, 14, 7, 7, 7, 14, 14, 14, 7, 14, 14, 14, 21, 7, 21, 14, 14, 7, 7, 7, 14, 0, 7, 7, 7, 7, 14, 7, 21, 14, 7, 14, 14, 21, 14, 21, 7, 0, 7, 7, 14, 14, 14, 14, 7, 7, 7]
10:3:8:10 => [16, 0, 8, 24, 16, 8, 0, 16, 16, 8, 16, 0, 24, 8, 16, 8, 24, 8, 16, 8, 8, 24, 16, 16, 0, 8, 16, 16, 24, 16, 8, 16, 16, 8, 16, 8, 16, 16, 16, 16, 0, 8, 0, 8, 8, 0, 16, 8, 16, 8, 16, 24, 8, 16, 16, 0, 16, 8, 16, 16, 24, 8, 24, 8, 24, 16, 16, 8, 24, 16, 16, 16, 16, 8, 16, 8, 8, 16, 8, 8, 8, 16, 16, 8, 8, 24, 8, 16, 16, 24, 8, 16, 16, 8, 16, 8, 16, 8, 16, 8]-[8, 24, 16, 0, 8, 16, 24, 8, 8, 16, 8, 24, 0, 16, 8, 16, 0, 16, 8, 16, 16, 0, 8, 8, 24, 16, 8, 8, 0, 8, 16, 8, 8, 16, 8, 16, 8, 8, 8, 8, 24, 16, 24, 16, 16, 24, 8, 16, 8, 16, 8, 0, 16, 8, 8, 24, 8, 16, 8, 8, 0, 16, 0, 16, 0, 8, 8, 16, 0, 8, 8, 8, 8, 16, 8, 16, 16, 8, 16, 16, 16, 8, 8, 16, 16, 0, 16, 8, 8, 0, 16, 8, 8, 16, 8, 16, 8, 16, 8, 16]
10:3:9:10 => [18, 18, 18, 18, 9, 9, 18, 27, 0, 9, 18, 9, 9, 18, 27, 27, 27, 9, 27, 18, 18, 9, 27, 18, 18, 9, 18, 18, 9, 18, 0, 9, 18, 9, 18, 27, 9, 0, 9, 18, 18, 9, 9, 0, 9, 18, 9, 18, 18, 9, 0, 9, 18, 18, 9, 9, 0, 9, 0, 9, 9, 9, 18, 0, 9, 18, 0, 18, 9, 18, 18, 9, 9, 18, 9, 18, 18, 9, 27, 27, 9, 18, 9, 18, 9, 9, 9, 9, 0, 9, 18, 9, 0, 9, 18, 18, 9, 18, 9, 9]-[9, 9, 9, 9, 18, 18, 9, 0, 27, 18, 9, 18, 18, 9, 0, 0, 0, 18, 0, 9, 9, 18, 0, 9, 9, 18, 9, 9, 18, 9, 27, 18, 9, 18, 9, 0, 18, 27, 18, 9, 9, 18, 18, 27, 18, 9, 18, 9, 9, 18, 27, 18, 9, 9, 18, 18, 27, 18, 27, 18, 18, 18, 9, 27, 18, 9, 27, 9, 18, 9, 9, 18, 18, 9, 18, 9, 9, 18, 0, 0, 18, 9, 18, 9, 18, 18, 18, 18, 27, 18, 9, 18, 27, 18, 9, 9, 18, 9, 18, 18]
10:3:10:10 => [20, 20, 20, 0, 20, 20, 10, 0, 30, 10, 20, 10, 20, 10, 10, 30, 30, 0, 20, 20, 20, 20, 20, 30, 10, 10, 20, 10, 20, 10, 20, 10, 10, 20, 30, 20, 20, 10, 10, 20, 10, 10, 10, 20, 10, 20, 20, 10, 20, 30, 20, 10, 10, 10, 10, 30, 10, 20, 20, 30, 20, 10, 10, 20, 20, 20, 20, 20, 10, 30, 20, 10, 20, 10, 20, 20, 30, 0, 20, 10, 0, 20, 10, 10, 10, 10, 20, 10, 10, 20, 30, 20, 10, 20, 0, 20, 20, 20, 10, 0]-[10, 10, 10, 30, 10, 10, 20, 30, 0, 20, 10, 20, 10, 20, 20, 0, 0, 30, 10, 10, 10, 10, 10, 0, 20, 20, 10, 20, 10, 20, 10, 20, 20, 10, 0, 10, 10, 20, 20, 10, 20, 20, 20, 10, 20, 10, 10, 20, 10, 0, 10, 20, 20, 20, 20, 0, 20, 10, 10, 0, 10, 20, 20, 10, 10, 10, 10, 10, 20, 0, 10, 20, 10, 20, 10, 10, 0, 30, 10, 20, 30, 10, 20, 20, 20, 20, 10, 20, 20, 10, 0, 10, 20, 10, 30, 10, 10, 10, 20, 30]
10:4:2:10 => [2, 4, 2, 2, 4, 4, 4, 6, 4, 4, 0, 2, 0, 4, 6, 4, 2, 4, 0, 6, 4, 4, 2, 4, 2, 4, 8, 6, 4, 4, 4, 6, 2, 4, 4, 4, 4, 2, 4, 4, 4, 4, 2, 4, 4, 6, 2, 6, 4, 4, 4, 0, 6, 2, 6, 4, 4, 6, 6, 4, 8, 6, 4, 4, 6, 6, 0, 4, 2, 6, 4, 2, 2, 2, 4, 2, 4, 2, 4, 0, 8, 6, 6, 4, 6, 2, 2, 2, 8, 4, 4, 6, 2, 2, 2, 2, 4, 4, 6, 4]-[6, 4, 6, 6, 4, 4, 4, 2, 4, 4, 8, 6, 8, 4, 2, 4, 6, 4, 8, 2, 4, 4, 6, 4, 6, 4, 0, 2, 4, 4, 4, 2, 6, 4, 4, 4, 4, 6, 4, 4, 4, 4, 6, 4, 4, 2, 6, 2, 4, 4, 4, 8, 2, 6, 2, 4, 4, 2, 2, 4, 0, 2, 4, 4, 2, 2, 8, 4, 6, 2, 4, 6, 6, 6, 4, 6, 4, 6, 4, 8, 0, 2, 2, 4, 2, 6, 6, 6, 0, 4, 4, 2, 6, 6, 6, 6, 4, 4, 2, 4]
10:4:3:10 => [6, 12, 3, 9, 6, 6, 9, 3, 0, 6, 3, 6, 0, 6, 6, 3, 9, 3, 3, 0, 3, 3, 3, 3, 6, 6, 12, 9, 0, 9, 3, 3, 9, 3, 12, 6, 12, 6, 9, 9, 9, 3, 6, 6, 12, 3, 0, 6, 6, 6, 9, 9, 9, 3, 0, 6, 6, 3, 6, 9, 3, 9, 6, 6, 6, 6, 0, 12, 3, 0, 3, 3, 6, 6, 6, 9, 0, 3, 3, 6, 12, 6, 6, 9, 6, 3, 6, 0, 9, 3, 3, 6, 9, 6, 3, 12, 0, 9, 6, 9]-[6, 0, 9, 3, 6, 6, 3, 9, 12, 6, 9, 6, 12, 6, 6, 9, 3, 9, 9, 12, 9, 9, 9, 9, 6, 6, 0, 3, 12, 3, 9, 9, 3, 9, 0, 6, 0, 6, 3, 3, 3, 9, 6, 6, 0, 9, 12, 6, 6, 6, 3, 3, 3, 9, 12, 6, 6, 9, 6, 3, 9, 3, 6, 6, 6, 6, 12, 0, 9, 12, 9, 9, 6, 6, 6, 3, 12, 9, 9, 6, 0, 6, 6, 3, 6, 9, 6, 12, 3, 9, 9, 6, 3, 6, 9, 0, 12, 3, 6, 3]
10:4:4:10 => [8, 4, 8, 16, 12, 16, 16, 8, 12, 8, 12, 12, 16, 8, 0, 8, 4, 4, 12, 16, 12, 12, 8, 8, 4, 8, 8, 12, 4, 4, 8, 4, 4, 8, 12, 12, 8, 16, 8, 16, 12, 4, 12, 4, 4, 4, 8, 8, 4, 16, 8, 8, 8, 12, 12, 4, 8, 8, 8, 8, 4, 8, 0, 0, 8, 8, 8, 12, 12, 8, 12, 8, 12, 8, 12, 8, 16, 8, 12, 16, 8, 0, 0, 8, 4, 8, 8, 4, 4, 4, 8, 16, 16, 12, 0, 4, 8, 4, 4, 12]-[8, 12, 8, 0, 4, 0, 0, 8, 4, 8, 4, 4, 0, 8, 16, 8, 12, 12, 4, 0, 4, 4, 8, 8, 12, 8, 8, 4, 12, 12, 8, 12, 12, 8, 4, 4, 8, 0, 8, 0, 4, 12, 4, 12, 12, 12, 8, 8, 12, 0, 8, 8, 8, 4, 4, 12, 8, 8, 8, 8, 12, 8, 16, 16, 8, 8, 8, 4, 4, 8, 4, 8, 4, 8, 4, 8, 0, 8, 4, 0, 8, 16, 16, 8, 12, 8, 8, 12, 12, 12, 8, 0, 0, 4, 16, 12, 8, 12, 12, 4]
10:4:5:10 => [15, 20, 20, 15, 5, 15, 5, 5, 10, 15, 10, 5, 5, 15, 15, 15, 10, 15, 15, 15, 15, 10, 15, 15, 5, 15, 10, 5, 15, 10, 5, 10, 15, 0, 15, 15, 20, 10, 10, 15, 5, 5, 15, 10, 5, 0, 15, 10, 5, 10, 15, 5, 5, 5, 15, 5, 10, 5, 15, 5, 10, 15, 10, 15, 10, 15, 10, 15, 15, 15, 10, 10, 0, 15, 5, 10, 10, 15, 20, 10, 5, 10, 10, 10, 5, 0, 10, 15, 10, 10, 5, 20, 5, 15, 5, 15, 20, 15, 10, 10]-[5, 0, 0, 5, 15, 5, 15, 15, 10, 5, 10, 15, 15, 5, 5, 5, 10, 5, 5, 5, 5, 10, 5, 5, 15, 5, 10, 15, 5, 10, 15, 10, 5, 20, 5, 5, 0, 10, 10, 5, 15, 15, 5, 10, 15, 20, 5, 10, 15, 10, 5, 15, 15, 15, 5, 15, 10, 15, 5, 15, 10, 5, 10, 5, 10, 5, 10, 5, 5, 5, 10, 10, 20, 5, 15, 10, 10, 5, 0, 10, 15, 10, 10, 10, 15, 20, 10, 5, 10, 10, 15, 0, 15, 5, 15, 5, 0, 5, 10, 10]
